identifier,idProduit,itemId,produitEan13,pviIncrement,capacite,qteMaxPanier,marque,libelle,conditionnement,prix,unitPrice,prixKg,prixBarre,vignetteCollector,poidsMinimum,poidsNet,poidsUnite,volume,isTrad,isPresentAlcoholProduct,avantages,origine,categorie,nbPiece,typeProduit_code,typeProduit_value,typeProduit_uniteByCode,unit_value,avantages_dateFin,avantages_categorie,images_0,images_1,images_2,images_3,pictogrammes_idPicto,pictogrammes_idCategorie,pictogrammes_libelleCategorie,pictogrammes_image,pictogrammes_infoBulle,page,nro_paginas,pictogrammes,pictogrammes_0
1115,5601066300940,1115,5601066300940,1,500.0,99,Nacional,Esparguete Clássica,Embalagem de 500 g,0.87,1.74,1.74,0.0,0,500,500,0,0,False,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DB78376CF8FFABD88E18230FF0FF168D.jpg,,,,,,,,,1,10,,
11464,5601018003400,11464,5601018003400,1,1000.0,99,Matinal,Leite Seleccionado Meio Gordo,Embalagem de 1L,0.98,0.98,0.98,0.0,0,0,0,0,1000,False,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2D40D4EB6EAF6BEF7329493925CCD97C.jpg,,,,,,,,,1,10,,
24838,5601164903722,24838,5601164903722,1,7500.0,99,Super Bock,Cerveja Mini,Pack 30 X 0.25 L,13.85,1.85,1.85,0.0,0,0,0,0,7500,False,False,"[{'dateFin': '2024-07-10T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/21F823289804B326F67E5D90563F901B.jpg,,,,3682.0,52.0,Cabaz Compromisso,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png,,1,10,,
3526,2894034000000,3526,2894034000000,150,150.0,99,Nobre,Fiambre da Perna Extra,1 un = 150 gr (aprox.),2.25,14.99,14.99,,0,150,150,0,0,True,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",Portugal,,,PVI,Poids variable à intervalle,,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/557B46964D51EA0529BF496E616F76D8.jpg,,,,,,,,,1,10,,
12972,2892040000000,12972,2892040000000,250,1000.0,99,Fruta,Banana,1 un = 200 gr (aprox.),0.99,0.99,0.99,,0,1000,1000,0,0,True,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",ORIGEM: COSTA RICA,CAT: I,,PVI,Poids variable à intervalle,,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C368220872795E9863F1F37C2230CCEA.jpg,,,,3682.0,52.0,Cabaz Compromisso,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png,,1,10,,
10509,8435250297955,10509,8435250297955,1,256.0,99,Nestlé,"Iogurte mix-in smarties baunilha,  2 x 128 g",,1.98,7.73,7.73,0.0,0,256,256,0,0,False,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4FC6F733C531A7A948940F213F0E604D.jpg,,,,,,,,,1,10,,
11967,5601049612336,11967,5601049612336,1,250.0,99,Mimosa,Manteiga c/ sal,Embalagem de 250g,1.95,7.8,7.8,0.0,0,250,250,0,0,False,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C41D77380AC10A8E184B8D4C3C381772.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B59AE74FD0DBE6C3112F001AFF69E867.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BB9196C3025886DBB6F20EDD70A1CA7A.jpg,,,,,,,1,10,,
10669,8714789703046,10669,8714789703046,1,360.0,99,Palmolive,Sabonete sensitive,Embalagem de 4x90 g,3.59,9.97,9.97,0.0,0,360,360,0,0,False,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E1B6CB90823C0471DEECAE12A1EACB59.jpg,,,,,,,,,1,10,,
17900,8001480023277,17900,8001480023277,1,700.0,99,Neoblanc,Lixívia Spray Mousse Flor,Embalagem de 700ml,2.59,3.7,3.7,0.0,0,0,0,0,700,False,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FA98D871A88B2DCD779EA51368257E43.jpg,,,,,,,,,1,10,,
44684,8002230000302,44684,8002230000302,1,700.0,99,Aperol,"Aperol, garrafa de 700 ml",,15.49,22.13,22.13,0.0,0,0,0,0,700,False,False,"[{'dateFin': '2024-07-10T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/15FD0B1F6435638ED67E41E843B15949.jpg,,,,,,,,,1,10,,
15489,7613031884247,15489,7613031884247,1,4000.0,99,Friskies,"Ração para gato adulto com vaca, frango",Embalagem de 4kg,10.79,2.7,2.7,0.0,0,4000,4000,0,0,False,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3758935B87F55535F41EEF08B41E8342.jpg,,,,,,,,,1,10,,
927,5601001180903,927,5601001180903,1,380.0,99,Nestlé,Cereais chocapic,Embalagem de 375 g,2.29,6.03,6.03,0.0,0,380,380,0,0,False,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6DE0110672BED70DCD1FFE94A66DEB48.jpg,,,,3682.0,52.0,Cabaz Compromisso,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png,,1,10,,
