identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,avantages_dateFin,avantages_categorie,images_0,images_1,images_2,pictogrammes_libelleCategorie,nro_paginas,page,images_3,images_4,images_5,pictogrammes_0
979,5601024134471,750.0,Oliveira da Serra,Azeite Virgem,Embalagem de 750 ml,6.99,9.32,750,L,€/L,2024-07-24T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/32A5EFAE1A78DF80856528FEA48BA60C.jpg,,,1000 Artigos,17,1,,,,
978,5601024134136,750.0,Oliveira da Serra,Azeite,Embalagem de 750 ml,5.99,7.99,750,L,€/L,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4618FCD27F27BDBAA8CF1CDC30F2EFF5.jpg,,,1000 Artigos,17,1,,,,
8383,5601049132995,1000.0,Mimosa,Leite uht meio gordo,Embalagem de 1 litro,0.89,0.89,1000,L,€/L,2024-07-24T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/30AE72C16512D7F6E9C8B5E7CBD4B0A2.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AE810093A08CEBD60415DCC626CF5804.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A0562293538F541B1B99592AA046327B.jpg,,17,1,,,,
1308,5601151979099,1250.0,Sumol,Refrigerante com gás de laranja,"Garrafa de 1,25 l",1.09,0.87,1250,L,€/L,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/ECE6BD1006EEE4AC73A1110926F981DC.jpg,,,1000 Artigos,17,1,,,,
13866,2891048000000,1000.0,Porco,Bifanas,Vendido ao peso a partir de 1 kg,4.29,4.29,0,,€/Kg,2024-07-24T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C9E276B082B119EFEDC2A2B0E1BC737E.jpg,,,,17,1,,,,
36263,5601027973060,480.0,Bimbo,Pão de forma integral,Embalagem de 480 g,1.84,3.83,0,kg,€/Kg,2024-07-24T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/706CDDCF91F9F779ABC5B2D4D8D2F75F.jpg,,,,17,1,,,,
8994,5601511000012,200.0,Limiano,"Queijo flamengo, fatias",Embalagem de 200g,2.19,10.95,0,kg,€/Kg,2024-07-24T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/86AD0748081C379158BF2EE3F6F67244.jpg,,,,17,1,,,,
12972,2892040000000,1000.0,Fruta,Banana,1 un = 200 gr (aprox.),1.09,1.09,0,,€/Kg,2024-07-24T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C368220872795E9863F1F37C2230CCEA.jpg,,,,17,1,,,,
18595,8410500016012,400.0,Danonino Danone,"Iogurte líquido danonino morango,  4 x 100 g",,1.99,4.98,0,kg,€/Kg,2024-07-24T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0E203361E14F23CD94ABD0BD721CC32D.jpg,,,,17,1,,,,
11967,5601049612336,250.0,Mimosa,Manteiga c/ sal,Embalagem de 250g,1.99,7.96,0,kg,€/Kg,2024-07-24T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C41D77380AC10A8E184B8D4C3C381772.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B59AE74FD0DBE6C3112F001AFF69E867.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BB9196C3025886DBB6F20EDD70A1CA7A.jpg,,17,1,,,,
