index,no_products,id,title
228,40,11404,Detergente Máquina Loiça
229,38,11405,Detergente Líquido Loiça
230,10,11407,Limpeza Fogão e Forno
231,8,11408,Multisuperfícies
232,10,10602,Abrasivos 
233,40,10603,Blocos e Líquidos Sanitários
234,16,10604,Anticalcários e Desinfetantes
235,40,10739,Detergente Lava-Tudo
236,8,11410,Detergente Limpa-Vidros
237,2,11411,Lixívia
238,11,11412,Multisuperfícies
239,5,11413,Desentupidores
240,27,11414,Limpeza e Cuidados de Madeiras
241,26,11415,Específicos de Limpeza
242,40,11793,"Panos, Esfregões e Luvas"
243,22,11794,Esfregonas e Mopas
244,12,11795,"Vassouras, escovas e Pás"
245,9,11796,Baldes e Alguidares
246,19,11797,Sacos do Lixo
247,40,10563,Ambientadores Elétricos e Automáticos
