index,no_products,no_list_products,id,title
0,16,16,11508,Maçãs e Peras
1,4,4,11510,Laranjas e Outros Citrinos
2,5,5,11511,Bananas e Kiwis
3,7,7,11512,"Pêssegos, Nectarinas e Ameixas"
4,2,2,11509,Limões e Limas
5,3,3,11513,Ananás e Abacaxi
6,8,8,11514,Frutos Vermelhos
7,6,6,11515,Uvas
8,4,4,11516,"Melão, Meloa e Melancia"
9,6,6,11517,Outros Frutos da Época
10,11,11,11518,Frutas Tropicais e Exóticas
11,4,4,11519,Frutos Secos e Desidratados
12,3,3,11531,Alfaces e Rúcula
13,3,3,11522,Batatas
14,3,3,11523,Cebolas e Alhos
15,9,9,11524,Couves e Feijão Verde
16,4,4,11525,Nabos e Grelos
17,1,1,11526,Agrião e Alho Francês
18,4,4,11527,Cenouras e Abóbora
19,10,10,11528,Tomates e Pimentos
20,1,1,11530,Pepinos e Curgetes
21,1,1,11534,Ervas Aromáticas
22,11,11,11533,Outros Legumes
23,32,32,11539,Porco
24,36,36,11540,"Novilho, Vitela e Vitelão"
25,8,8,11541,Borrego e Cabrito
26,1,1,11542,Coelho
27,40,40,11543,Aves
28,16,16,11544,"Salsichas, Especialidades e Preparados"
29,6,6,11545,Bacalhau
30,40,40,11546,Peixe
31,13,13,11547,Marisco
32,39,39,11551,Queijo Fatiado e Bolas
33,26,26,11552,Queijo Ralado e Para Barrar
34,40,40,11553,Queijo Curado e Amanteigado
35,15,15,11554,Snacks
36,30,30,11555,Queijo Fresco e Mozzarella
37,40,40,11560,Enchidos
38,23,23,11558,Fiambre Aves
39,14,14,11559,Fiambre Porco
40,30,30,11556,Presunto e Bacon
41,15,15,11557,"Mortadela, Paio e Chourição"
42,7,7,11561,Salsichas
43,6,6,11562,Especialidades
44,34,34,11566,Pão de Forno
45,40,40,11567,Pão de Forma e embalados
46,33,33,11568,"Tostas, Croutons e Gressinos"
47,3,3,11569,Pão Ralado
48,30,30,11570,Pastelaria Doce
49,12,12,11571,Pastelaria Salgada
