index,no_products,id,title
51,4,11692,Leite Gordo
52,17,11693,Leite Magro
53,4,11694,Leite Proteico
54,28,11695,Achocolatados e Aromatizados
55,7,11696,Leites Infantis e Bebidas Lácteas
56,1,11697,Sem Lactose
57,40,11753,Bebidas Vegetais
58,7,11698,Ovos
59,29,11706,Manteigas
60,21,11707,Cremes Vegetais e para Barrar
61,18,11703,Natas Culinária e Bechamel
62,3,11704,Margarinas
63,17,11705,Natas para Bater e Chantilly
64,40,10400,Iogurtes Líquidos
65,24,10395,Iogurtes Aromas e Naturais
66,14,10396,Iogurtes Pedaços
67,12,10397,Iogurtes Magros
68,14,10398,Iogurtes Bifidus
69,20,11178,Iogurtes Infantis
