index,no_products,id,title
224,24,11668,Gin
225,16,11669,Aguardente e Brandy
226,4,11670,Champanhes
227,40,11671,Espumantes
228,40,11404,Detergente Máquina Loiça
229,38,11405,Detergente Líquido Loiça
230,10,11407,Limpeza Fogão e Forno
231,8,11408,Multisuperfícies
232,10,10602,Abrasivos 
233,40,10603,Blocos e Líquidos Sanitários
234,16,10604,Anticalcários e Desinfetantes
235,40,10739,Detergente Lava-Tudo
236,8,11410,Detergente Limpa-Vidros
237,2,11411,Lixívia
238,11,11412,Multisuperfícies
239,5,11413,Desentupidores
240,27,11414,Limpeza e Cuidados de Madeiras
241,26,11415,Específicos de Limpeza
242,40,11793,"Panos, Esfregões e Luvas"
243,22,11794,Esfregonas e Mopas
244,12,11795,"Vassouras, escovas e Pás"
245,9,11796,Baldes e Alguidares
246,19,11797,Sacos do Lixo
247,40,10563,Ambientadores Elétricos e Automáticos
248,14,10564,Ambientadores Automóvel
249,15,10566,Velas Ambientadoras
250,4,10567,Absorve Odores
251,9,11792,Sprays e Sticks Perfumadores
252,12,10569,Inseticidas Elétricos e Automáticos
253,13,10570,Inseticidas em Spray e Fitas
254,4,10571,Anti-Traças
255,9,11783,Lavagem e Limpeza Manual
256,12,11784,Detergente em Pó
257,40,11785,Detergente Líquido
258,22,11786,Detergente em Cápsulas e Pastilhas
259,40,11787,Amaciador
260,40,11788,Aditivos e Outros Cuidados
261,20,11789,Lixívia
262,30,11790,Limpeza e Cuidados do Calçado
263,17,11791,Lavandaria
264,14,10600,Guardanapos
265,15,10601,Rolos de Cozinha
266,40,10471,Pasta de Dentes
