level,isPromo,id,key,title,slug,link,picto,hasAlcohol,index,no_products
3,False,11508,11508,Maçãs e Peras,macas-e-peras,/shelves/frutas-e-legumes/frutas/macas-e-peras/11508,,,0,16
3,False,11510,11510,Laranjas e Outros Citrinos,laranjas-e-outros-citrinos,/shelves/frutas-e-legumes/frutas/laranjas-e-outros-citrinos/11510,,,1,4
3,False,11511,11511,Bananas e Kiwis,bananas-e-kiwis,/shelves/frutas-e-legumes/frutas/bananas-e-kiwis/11511,,,2,5
3,False,11512,11512,"Pêssegos, Nectarinas e Ameixas",pessegos-nectarinas-e-ameixas,/shelves/frutas-e-legumes/frutas/pessegos-nectarinas-e-ameixas/11512,,,3,7
3,False,11509,11509,Limões e Limas,limoes-e-limas,/shelves/frutas-e-legumes/frutas/limoes-e-limas/11509,,,4,2
3,False,11513,11513,Ananás e Abacaxi,ananas-e-abacaxi,/shelves/frutas-e-legumes/frutas/ananas-e-abacaxi/11513,,,5,3
3,False,11514,11514,Frutos Vermelhos,frutos-vermelhos,/shelves/frutas-e-legumes/frutas/frutos-vermelhos/11514,,,6,9
3,False,11515,11515,Uvas,uvas,/shelves/frutas-e-legumes/frutas/uvas/11515,,,7,6
3,False,11516,11516,"Melão, Meloa e Melancia",melao-meloa-e-melancia,/shelves/frutas-e-legumes/frutas/melao-meloa-e-melancia/11516,,,8,4
3,False,11517,11517,Outros Frutos da Época,outros-frutos-da-epoca,/shelves/frutas-e-legumes/frutas/outros-frutos-da-epoca/11517,,,9,6
3,False,11518,11518,Frutas Tropicais e Exóticas,frutas-tropicais-e-exoticas,/shelves/frutas-e-legumes/frutas/frutas-tropicais-e-exoticas/11518,,,10,11
3,False,11519,11519,Frutos Secos e Desidratados,frutos-secos-e-desidratados,/shelves/frutas-e-legumes/frutas/frutos-secos-e-desidratados/11519,,,11,4
3,False,11531,11531,Alfaces e Rúcula,alfaces-e-rucula,/shelves/frutas-e-legumes/legumes/alfaces-e-rucula/11531,,,12,3
3,False,11522,11522,Batatas,batatas,/shelves/frutas-e-legumes/legumes/batatas/11522,,,13,3
3,False,11523,11523,Cebolas e Alhos,cebolas-e-alhos,/shelves/frutas-e-legumes/legumes/cebolas-e-alhos/11523,,,14,3
3,False,11524,11524,Couves e Feijão Verde,couves-e-feijao-verde,/shelves/frutas-e-legumes/legumes/couves-e-feijao-verde/11524,,,15,9
3,False,11525,11525,Nabos e Grelos,nabos-e-grelos,/shelves/frutas-e-legumes/legumes/nabos-e-grelos/11525,,,16,4
3,False,11526,11526,Agrião e Alho Francês,agriao-e-alho-frances,/shelves/frutas-e-legumes/legumes/agriao-e-alho-frances/11526,,,17,1
3,False,11527,11527,Cenouras e Abóbora,cenouras-e-abobora,/shelves/frutas-e-legumes/legumes/cenouras-e-abobora/11527,,,18,4
3,False,11528,11528,Tomates e Pimentos,tomates-e-pimentos,/shelves/frutas-e-legumes/legumes/tomates-e-pimentos/11528,,,19,10
3,False,11530,11530,Pepinos e Curgetes,pepinos-e-curgetes,/shelves/frutas-e-legumes/legumes/pepinos-e-curgetes/11530,,,20,1
3,False,11529,11529,Cogumelos,cogumelos,/shelves/frutas-e-legumes/legumes/cogumelos/11529,,,21,1
3,False,11534,11534,Ervas Aromáticas,ervas-aromaticas,/shelves/frutas-e-legumes/legumes/ervas-aromaticas/11534,,,22,1
3,False,11533,11533,Outros Legumes,outros-legumes,/shelves/frutas-e-legumes/legumes/outros-legumes/11533,,,23,11
