identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,images_0,images_1,images_2,images_3,images_4,images_5,pictogrammes_libelleCategorie,avantages_dateFin,avantages_categorie,nro_paginas,page,images_6,pictogrammes_0
12972,2892040000000,1000.0,Fruta,Banana,1 un = 200 gr (aprox.),1.09,1.09,0,,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C368220872795E9863F1F37C2230CCEA.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
12978,2892462000000,400.0,Legumes,Alface Frisada,1 un= 400 g (aprox.),0.4,0.99,0,,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/14C8DBD7827DB992F77D5C5056950123.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
12994,2892524000000,100.0,Legumes,Cenoura Granel,1 un = 100 gr (aprox.),0.09,0.85,0,,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6427FE21A79FA79A1E8CC03E5F3B3703.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
7126,2895005000000,100.0,PorSi,Queijo flamengo barra,"Vendido ao peso, fatiado a partir de 100 gr",0.7,6.99,0,,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/16C1EB46F4F37242994168D0C6EEE2EA.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/429C8DD5EB6268845AF5C452EB2A1C3C.jpg,,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
13915,2891249000000,2000.0,Peru,Perna com Osso,Vendido ao peso,5.98,2.99,0,,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1D88BA2E1544364C5EB66CF19AD6E70E.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
40464,5604260300815,120.0,PorSi,Atum posta em óleo vegetal,Embalagem de 120g,0.93,7.75,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/173B9FE9B4C2B9F9F15A0D5B1DBEDB60.jpg,,,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
13216,2893201000000,250.0,PorSi,Perca à Posta,1 un = 250g (aprox.),2.2,8.79,0,,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/741D00CAD6DCC4EC729919B0800D71BD.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
13866,2891048000000,1000.0,Porco,Bifanas,Vendido ao peso a partir de 1 kg,3.99,3.99,0,,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C9E276B082B119EFEDC2A2B0E1BC737E.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
2312,5604260271832,355.0,PorSi,Cogumelos laminados 1/2,Embalagem de 355 g,1.19,3.35,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/60708037644026A27C2FB6731A0DAB33.jpg,,,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
36522,5604260292042,,PorSi,Papel higiénico macio absorvente,12 rolos,2.49,2.49,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/839473679F0155D9469467503CB1B3E6.jpg,,,,,,1000 Artigos,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
9691,5604260270613,500.0,PorSi,Queijo Flamengo Fatias,Embalagem 500G,3.99,7.98,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FFFF236BFADF54D62A4E0EFB7AF0E7B7.jpg,,,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
32326,8002205352009,2000.0,Friskies,Ração para gato adulto com salmão e legumes,Embalagem de 2 kg,6.74,3.37,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5A66DCF50E18EB50FA1AC8028C8508C6.jpg,,,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
12887,2892089000000,500.0,Fruta,Manga Barco,1 un = 500 gr (aprox.),1.5,2.99,0,,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/ADC504D3921218CCB4DF31F75AAF28C0.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
2309,5604260271801,2000.0,PorSi,Refrigerante de cola zero,Garrafa de 2 l,0.79,0.4,2000,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F81DE832EC9948EA24FFE06A8CDD7EE9.jpg,,,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
13242,2893227000000,200.0,Peixaria,Robalo de Viveiro,de 200 a 600 g (aprox.),1.16,5.79,0,,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/48561D1FC8B0542874DDBC21F2E9ADCA.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
854,5010394133852,500.0,Pedigree,Guloseima para cão biscrok,Embalagem de 500 g,3.49,6.98,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C3696C3844F67065BEA83C1D5D8C7EB1.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
13865,2891042000000,1000.0,Porco,Costeletas do Cachaço,Vendido ao peso a partir de 1 kg,4.98,4.98,0,,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9CC30521C194F3CF0E71F32C6E004880.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
14223,5604260292721,100.0,PorSi,Tablete chocolate de leite,embalagem de 100 g,1.29,12.9,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E23ABA87C72BA66273585754CBCFF134.jpg,,,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
