identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,avantages_dateFin,avantages_categorie,nro_paginas,page,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise
53300,5000204771923,,Glade,"Ambientador Aerossol Vanilla, 300ml",,1.79,1.79,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FC3BFBD9196996A810FE94B64C8F1AAB.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
46922,5601897500021,,Matinados,"Ovos de galinha ao ar livre / classe: m/l, 12 unidades",,2.79,2.79,1,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D418E60C080058753E8CC98EB5E81765.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
1292,5601151354452,1000.0,Compal,"Néctar vital equilibrio manga e laranja, 1 l",,1.19,1.19,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/30D2BA582C7246DE27BB90D053759BF5.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
13897,2891053000000,1000.0,Porco,Lombo sem Osso,Vendido ao peso a partir de 1 kg,4.28,4.28,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/415564DA70574ED3C1D7475F1F28BDB6.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
26047,8412600070994,650.0,Bimbo,Pão de forma s/ côdea,Embalagem de 650 g,2.09,3.22,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/998967574B383CCF8D49F03316F06108.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
15125,2895006000000,150.0,Terra Nostra,Queijo Flamengo em Barra,1 un = 150 gr (aprox.),1.35,8.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/476F7A985B3EA4EB38194328E8345ADF.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
12972,2892040000000,1000.0,Fruta,Banana,1 un = 200 gr (aprox.),1.09,1.09,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1515327A77B72426B2932390DFBE18E5.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
18595,8410500016012,400.0,Danonino Danone,"Iogurte líquido danonino morango, embalagem de 4 x 100g",,1.99,4.98,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0E203361E14F23CD94ABD0BD721CC32D.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
11967,5601049612336,250.0,Mimosa,"Manteiga com sal, embalagem de 250g",,1.99,7.96,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2C2D066D904F137421CA4F472DC07738.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B59AE74FD0DBE6C3112F001AFF69E867.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BB9196C3025886DBB6F20EDD70A1CA7A.jpg,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
53667,5054563109705,75.0,Sensodyne,Pasta de Dentes Multiprotection Branqueadora,Embalagem de 75ml,3.96,52.8,75,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/887FAC0AD5C65C350DF43A4B1C19F382.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/79C3CD129F06F9A8E203F1CDCCF40417.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/79C3CD129F06F9A8E203F1CDCCF40417.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/79C3CD129F06F9A8E203F1CDCCF40417.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/79C3CD129F06F9A8E203F1CDCCF40417.jpg,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
19415,5601028019798,,Renova,"Rolo de cozinha design xxl, 3 rolos",,1.99,1.99,3,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/72BDE5829FC47024A80D1CC998CA1B8E.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
11982,5603802400020,750.0,Fiuza,"Vinho branco tejo sauvignon, garrafa de 750 ml",,4.92,6.56,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/996291488226B375A67E39537E454FD9.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
15489,7613031884247,4000.0,Friskies,"Ração para gato adulto com vaca, frango, embalagem de 4kg",,10.79,2.7,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AA74DE430E0D577781082E763F8D5C13.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
1114,5601066300780,500.0,Nacional,"Massa de maçarrão riscado, embalagem de 500g",,0.89,1.78,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4E586B0F43C13026DBE291FFB6AC87A9.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
