identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise,nro_paginas,page,images_4,avantages_dateFin,avantages_categorie
8383,5601049132995,1000.0,Mimosa,"Leite uht meio gordo, embalagem de 1litro",,0.99,0.99,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6FB52C843F677BD37D399D45BB10B38B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AE810093A08CEBD60415DCC626CF5804.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A0562293538F541B1B99592AA046327B.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,1,,,
4687,5000116105212,375.0,Iglo,"Ervilhas, embalagem de 375g",,1.89,5.04,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6C528FEBBEDC5462386A3AB117EEBFD4.jpg,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,1,,,
1043,5601055024017,200.0,Pantagruel,"Chocolate culinário, embalagem de 200g",,2.39,11.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CD7A81B2D616DAA659580B8B1F91D9F1.jpg,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,1,,,
13977,2696106000000,,Pastelaria,Folhado de Maçã,1 unidade= 100 g,0.89,0.89,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C92497D9C6A75CD832651E848AF344C3.jpg,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,1,,,
23469,8410500020453,280.0,Danone,"Danonino para levar, polpa de morango, embalagem de 4 x 70 g",,2.14,7.64,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3E7A122EA567C89446D113FF66BFA0AE.jpg,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,1,,,
49258,8718951476271,75.0,Colgate,Pasta de Dentes Gengivas Limpeza Interdentária,Embalagem de 75 ml,3.24,43.2,75,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/71413787DADCB43D7EE037F2CCCABD18.jpg,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,1,,,
46517,5000204208917,750.0,Pato,"Líquido sanitário ação total pinho, 750 ml",,1.94,2.59,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/08C17A1F547C898E2E6E9CBB3441BB2A.jpg,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,1,,,
34283,5000267024202,700.0,Johnnie Walker,Whisky 12 anos black label,Garrafa de 700 ml,29.99,42.84,700,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E6E0EB2FDA4C05B71771A2F91EC61780.jpg,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,1,,,
15943,7613034096593,60.0,Felix,"Snack para gato chezzy, 60g",,1.49,24.83,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C19CF0D792DF8707E6BCF2F0AA71B408.jpg,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,1,,,
15161,5604260274246,1000.0,PorSi,Cenouras Programa Origens,Embalagem de 1 kg,0.85,0.85,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/558C3AC1450C10C8B2395D06441C5423.jpg,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,1,,,
