identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,avantages_dateFin,avantages_categorie,nro_paginas,page,images_3,images_4
8383,5601049132995,1000.0,Mimosa,"Leite uht meio gordo, embalagem de 1litro",,0.86,0.86,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6FB52C843F677BD37D399D45BB10B38B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AE810093A08CEBD60415DCC626CF5804.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A0562293538F541B1B99592AA046327B.jpg,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,1,,
13866,2891048000000,1000.0,Porco,Bifanas,Vendido ao peso a partir de 1 kg,3.99,3.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/72DE0DA6B485199AC995C629E3E4D279.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,1,,
1467,5601286236784,500.0,Milaneza,"Massa de espirais, embalagem de 500g",,1.04,2.08,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/90F3AD9985391E2BB3C76374F1217643.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,1,,
8521,5601119956810,120.0,Nobre,"Fiambre perna extra fatiado, embalagem de 120g",,1.99,16.58,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B962872D940BF7EEEBDD095332A56017.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,1,,
12819,3600522023883,400.0,Elvive,Champô total repair,Embalagem de 400 ml,3.99,9.98,400,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EA7D6E07CD09475944FC0B7344377C93.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,1,,
13966,2696019000000,450.0,Padaria,Pão Regional Rio Maior Inteiro,1 unidade= 450 g,1.09,2.42,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/868CC38F01B8F1FD056036A7F49504A8.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,1,,
19415,5601028019798,,Renova,"Rolo de cozinha design xxl, 3 rolos",,1.99,1.99,3,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9A25E60B9B6B556C2D19CB0AC3EE543B.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,1,,
12887,2892089000000,500.0,Fruta,Manga Barco,1 un = 500 gr (aprox.),1.35,2.69,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7DE73DFAB226CDE947BB89C61333D3FE.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,1,,
18860,3147690060703,700.0,Gibson's,Gin dry,Garrafa de 700 ml,11.49,16.41,700,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EF3EC9468395BE2E5E25F964CCF5DAF7.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,1,,
15955,7613032408794,85.0,Purina Gourmet,"Comida húmida para gato peixe do oceano, embalagem de 90g",,0.87,10.24,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FEEA8DEA9BB460BB34BF8E0ADF22D62F.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,1,,
