identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise,nro_paginas,page,images_5,images_6,images_7,avantages_dateFin,avantages_categorie
13865,2891042000000,1000.0,Porco,Costeletas do Cachaço,Vendido ao peso a partir de 1 kg,4.98,4.98,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D0D96FA697CD7DF7D0B353E0ED0B1193.jpg,,,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,12,1,,,,,
1188,5601119007970,200.0,Nobre,"Salsichas de porco, lata de 200g",,1.39,6.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F480FC52D56464F3C1B867155F4A37B9.jpg,,,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,12,1,,,,,
12819,3600522023883,400.0,Elvive,Champô total repair,Embalagem de 400 ml,3.99,9.98,400,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EA7D6E07CD09475944FC0B7344377C93.jpg,,,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,12,1,,,,,
26047,8412600070994,650.0,Bimbo,Pão de forma s/ côdea,Embalagem de 650 g,2.14,3.29,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/29A6957961BACB180F45AAA47CD1FB78.jpg,,,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,12,1,,,,,
16492,8718951037847,500.0,Ajax,"Limpa vidros pistola, tripla acção, embalagem de 500 ml",,1.97,3.94,500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/835152AD536CA633AE488A10E244161F.jpg,,,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,12,1,,,,,
12972,2892040000000,1000.0,Fruta,Banana,1 un = 200 gr (aprox.),1.09,1.09,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1515327A77B72426B2932390DFBE18E5.jpg,,,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,12,1,,,,,
40527,5604260295593,1000.0,PorSi,Vinho branco,embalagem de 1 litro,0.85,0.85,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/718FECA0F75FB4FF9AF0187BBC0A857A.jpg,,,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,12,1,,,,,
31908,8001090134226,,Dodot,Toalhita Azul,Embalagem de 64 un.,0.99,0.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7D0CA6E791B9424075D8EFACDC32D2FC.jpg,,,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,12,1,,,,,
24415,8410436299961,1300.0,Sonasol,"Lava tudo lavanda, 1,3l",,2.09,1.61,1300,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7357FEB6EC6D53B795AF0EA5889F5ADF.jpg,,,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,12,1,,,,,
1035,5601045105313,6000.0,Serra da estrela,"Água mineral sem gás, pack 4 x 1.5 l",,1.69,0.28,6000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0358268AAE386D7F610EBE003FAAE9E0.jpg,,,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,12,1,,,,,
20221,8410500020071,460.0,Danone,"Iogurte activia aveia nozes, embalagem de 4 x 120g",,2.39,5.2,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/95DB5CF2D3415DECF98AD16FB13B5950.jpg,,,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,12,1,,,,,
20468,5601385503176,,Aquafresh,Escova de Dentes Extra Interdental,1 + 1 unidades,2.6,2.6,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6EB0AF8EA36F700AFA23A8E14FD19291.jpg,,,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,12,1,,,,,
29126,8001090134257,,Dodot,Toalhitas,4 x 64 un.,3.95,3.95,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E3BE8EF176EE8D7463628FB693E59536.jpg,,,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,12,1,,,,,
16567,5000116110070,750.0,Iglo,"Esparregado de espinafres, embalagem de 750g",,3.49,4.65,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F70E4F5A76F097E6E455FB2FF67D9B6F.jpg,,,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,12,1,,,,,
40592,5603722519420,480.0,Mimosa,"Iogurte fruta batida banana, laranja e bolacha, 4 x 120 g",,1.69,3.52,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3DD4F4ED13036BE4F0A8D47DB404A192.jpg,,,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,12,1,,,,,
2445,5998749109113,270.0,Pedigree,"Snack dentastix grande, embalagem de 270g",,3.45,12.78,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/35241472DE7F17B0C520CB43E029E0A7.jpg,,,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,12,1,,,,,
43620,2696665000000,350.0,Padaria,Pão Escuro de Rio Maior,1 unidade= 350 g,1.09,3.11,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1DEE250EF533441ED634EA027418C71A.jpg,,,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,12,1,,,,,
40528,5604260295609,1000.0,PorSi,Vinho tinto,embalagem de 1 litro,0.89,0.89,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F2C995E0F5612472B187C08F2B475718.jpg,,,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,12,1,,,,,
8383,5601049132995,1000.0,Mimosa,"Leite uht meio gordo, embalagem de 1litro",,0.89,0.89,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6FB52C843F677BD37D399D45BB10B38B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AE810093A08CEBD60415DCC626CF5804.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A0562293538F541B1B99592AA046327B.jpg,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,12,1,,,,,
15161,5604260274246,1000.0,PorSi,Cenouras Programa Origens,Embalagem de 1 kg,0.89,0.89,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/558C3AC1450C10C8B2395D06441C5423.jpg,,,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,12,1,,,,,
