identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise,nro_paginas,page
8319,5601028017305,,Renova,Papel Higiénico Olé Branco 2 Folhas,38 Rolos + 10 Rolos Grátis,5.99,5.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5F618AB20DB350B94A7783BCF08F8F6B.jpg,,,,2025-02-19T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,1
42785,5604260310074,250.0,PorSi Select,Queijo manchego D.O.P,Embalagem de 250g,4.99,19.96,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B883B24D8849BAD51A50E353865A0840.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,1
8383,5601049132995,1000.0,Mimosa,"Leite uht meio gordo, embalagem de 1litro",,0.89,0.89,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6FB52C843F677BD37D399D45BB10B38B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AE810093A08CEBD60415DCC626CF5804.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A0562293538F541B1B99592AA046327B.jpg,,2025-02-19T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,1
1322,5601163011114,5400.0,Luso,"Água sem gás, garrafa de 5,4 l",,1.77,0.33,5400,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AA9320932FF184911C32006B7463EC74.jpg,,,,2025-02-19T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,1
13866,2891048000000,1000.0,Porco,Bifanas,Vendido ao peso a partir de 1 kg,3.99,3.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/72DE0DA6B485199AC995C629E3E4D279.jpg,,,,2025-02-19T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,1
26047,8412600070994,650.0,Bimbo,Pão de forma s/ côdea,Embalagem de 650 g,2.14,3.29,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/29A6957961BACB180F45AAA47CD1FB78.jpg,,,,2025-02-19T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,1
52296,3023290072097,160.0,Lindahls,"Iogurte sólido proteico stracciatella, embalagem de 160 g",,1.19,7.44,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F40178A8CA528D15DB7CD5F4CB218526.jpg,,,,2025-02-19T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,1
11967,5601049612336,250.0,Mimosa,"Manteiga com sal, embalagem de 250g",,1.99,7.96,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2C2D066D904F137421CA4F472DC07738.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B59AE74FD0DBE6C3112F001AFF69E867.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BB9196C3025886DBB6F20EDD70A1CA7A.jpg,,2025-02-19T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,1
15870,8411134126917,,Control,10 Preservativos Easy Way Finissímos,,9.09,9.09,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3928F08544E0A7896FFA192A06FB96EE.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3EA5F25B30DD36BA7032E2D3CA646DD6.jpg,,,2025-02-19T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,1
51113,8720181262784,500.0,Cif,"Limpa casa banho spray higiene c/ lixívia, 500 ml",,1.99,3.98,500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8CA4C0BAC8A169ADEC56BAD426803345.jpg,,,,2025-02-19T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,1
