identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,images_5,images_6,avantages_dateFin,avantages_categorie,nro_paginas,page,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise
15161,5604260274246,1000.0,PorSi,Cenouras Programa Origens,Embalagem de 1 kg,0.89,0.89,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/558C3AC1450C10C8B2395D06441C5423.jpg,,,,,,,2025-04-20T23:59:59.999999999+01:00,PROSPECTUS,15,1,,,,,,,,
980,5601024134488,750.0,Oliveira da Serra,Azeite virgem extra clássico,Embalagem de 750 ml,4.99,6.65,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/01EF39EFE8396CC9ACA95DC25E9D3412.jpg,,,,,,,2025-04-20T23:59:59.999999999+01:00,PROSPECTUS,15,1,,,,,,,,
1480,5601314000073,9000.0,Vitalis,"Água mineral sem gás, pack 6 x 1.5 l",,2.69,0.3,9000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DA3E69EB6FBF3CE3F3256CE592DB9A52.jpg,,,,,,,2025-04-20T23:59:59.999999999+01:00,PROSPECTUS,15,1,,,,,,,,
10914,3250390011620,200.0,Páturages,Queijo brie 60% mg,Embalagem de 200 g,1.68,8.4,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4BF7058D0138CA4DFA3E37B503FC8E28.jpg,,,,,,,2025-04-23T23:59:59.999999999+01:00,PROSPECTUS,15,1,,,,,,,,
32974,5604260286966,200.0,PorSi,Miolo de noz,200 g,2.45,12.25,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/909BDA63C72C379009D4FDA941AB6267.jpg,,,,,,,2025-04-23T23:59:59.999999999+01:00,PROSPECTUS,15,1,,,,,,,,
36465,5601028023443,,Renova,Lenços de bolso kids,Embalagem sortida com 8 unidades + 2 grátis,1.09,1.09,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2B0AFA48224382F2654400960136DE54.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0CE1F27833749E5A2E2A6631A26FC1E0.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/10669725004839CB519AC745D1B0A74F.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B68437CAB6470B905C65CD8F71745279.jpg,,,,2025-04-20T23:59:59.999999999+01:00,PROSPECTUS,15,1,,,,,,,,
13048,2893561000000,250.0,Marisco,Ameijoa Branca Vietnamita Congelada,Vendido a partir de 250 gr  (aprox.),0.5,1.99,0,,€/Kg,,Avantages !,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EB1BC296FF41180E6F3E1626AD4F78AA.jpg,,,,,,,2025-04-20T23:59:59.999999999+01:00,PROSPECTUS,15,1,,,,,,,,
38321,2696806000000,250.0,Padaria,Pão gémeos,250 g,0.59,2.36,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A99E9F55D9FD5180D848A5ADDB578F15.jpg,,,,,,,2025-04-23T23:59:59.999999999+01:00,PROSPECTUS,15,1,,,,,,,,
52838,8720182598899,1000.0,Cif,"Detergente loiça manual frutos vermelhos +poder, 1l",,1.99,1.99,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/784A59ED0AC78C19C7FF36B0B0E91397.jpg,,,,,,,2025-04-20T23:59:59.999999999+01:00,PROSPECTUS,15,1,,,,,,,,
12888,2892090000000,500.0,Fruta,Manga Avião,1 un=500 gr (aprox.),2.0,3.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A3E5B8447376E0E91C2C4BB7B1444B76.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/842EA0C904154D230A3A6F63A245D264.jpg,,,,,,2025-04-20T23:59:59.999999999+01:00,PROSPECTUS,15,1,,,,,,,,
