identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,images_0,images_1,images_2,images_3,images_4,avantages_dateFin,avantages_categorie,nro_paginas,page,pictogrammes_libelleCategorie,images_5
372,8711200532391,260.0,Calvé,"Molho big burguer, embalagem de 260g",,1.94,7.46,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/274182EF6D0EFA8A84998CA913A7016C.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/122719564EBC4BB4D52F039A6C0EDAF1.jpg,,,,2025-04-30T23:59:59.999999999+01:00,PROSPECTUS,9,1,,
388,8712566156115,71.0,Knorr,"Sopa de rabo de boi, 70g",,1.6,22.54,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3A7D2F019E799AC69E8329E3FE5B92BA.jpg,,,,,2025-04-30T23:59:59.999999999+01:00,PROSPECTUS,9,1,,
391,8712566173648,69.0,Knorr,"Sopa de cozido, 70g",,1.6,23.19,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0C584B5CFBC96172D2290B0DB00EB0B4.jpg,,,,,2025-04-30T23:59:59.999999999+01:00,PROSPECTUS,9,1,,
392,8712566173860,68.0,Knorr,"Canja com aletria, embalagem de 70g",,1.6,23.53,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0FDE190C3180267DE92D355FE905E718.jpg,,,,,2025-04-30T23:59:59.999999999+01:00,PROSPECTUS,9,1,,
393,8712566173945,72.0,Knorr,"Creme marisco, embalagem de 70g",,1.6,22.22,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/42380F997942E9C34D4500FD929708AF.jpg,,,,,2025-04-30T23:59:59.999999999+01:00,PROSPECTUS,9,1,,
405,8712566410910,275.0,Calvé,"Ketchup, embalagem de 275g",,1.49,5.42,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9E63EED4B27A252289B8979C188F5B40.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0D7B165FF00CA45BD8F6AC077E3CA1EC.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0D7B165FF00CA45BD8F6AC077E3CA1EC.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0D7B165FF00CA45BD8F6AC077E3CA1EC.jpg,,2025-04-30T23:59:59.999999999+01:00,PROSPECTUS,9,1,,
419,8718114882536,50.0,Knorr,"Sopa de cebola, embalagem de 50g",,1.6,32.0,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/40DE8A4B0CCB6E254052E81CFB00180A.jpg,,,,,2025-04-30T23:59:59.999999999+01:00,PROSPECTUS,9,1,,
540,3222270158428,1500.0,Friskies,Ração para gato adulto de interior,"Embalagem de 1,5 kg",5.84,3.89,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CD7C5B2E4322F0515EAC25F0F1ADD782.jpg,,,,,2025-04-30T23:59:59.999999999+01:00,PROSPECTUS,9,1,,
569,5604260304813,1500.0,PorSi,Água tonica,"Garrafa de 1,5 l",1.49,0.99,1500,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/17B42B57200C49723394473D18AACE4E.jpg,,,,,2025-04-30T23:59:59.999999999+01:00,PROSPECTUS,9,1,,
742,8006540348925,250.0,Pantene,Laca Fixação Flexível,Embalagem de 250 ml,3.99,15.96,250,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/73B5C91C3C3278D6DBDCC4E421A05C5A.jpg,,,,,2025-04-30T23:59:59.999999999+01:00,PROSPECTUS,9,1,,
927,5601001180903,380.0,Nestlé,Cereais chocapic,Embalagem de 375 g,2.39,6.29,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EA69C754779AF0C6F4DD36E6F3A8C272.jpg,,,,,2025-04-30T23:59:59.999999999+01:00,PROSPECTUS,9,1,,
931,5601001228100,300.0,Nestum,Nestum flocos de cereais com mel,Embalagem de 300g,2.24,7.47,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/82B368094FF4C269D04DE75FB30D7775.jpg,,,,,2025-04-30T23:59:59.999999999+01:00,PROSPECTUS,9,1,,
939,5601001315107,200.0,Nestlé,"Mistura solúvel tofina despertar, embalagem de 200g",,2.89,14.45,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CC5A47735407D4C3B415883C0C674337.jpg,,,,,2025-04-30T23:59:59.999999999+01:00,PROSPECTUS,9,1,,
944,5601001339301,200.0,Nestlé,"Mistura solúvel mokambo, embalagem de 200g",,4.19,20.95,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7654D4A8AEB526591EE0FD0D1A7BE478.jpg,,,,,2025-04-30T23:59:59.999999999+01:00,PROSPECTUS,9,1,,
973,5601024105020,1000.0,Fula,Óleo alimentar,Embalagem 1L,2.02,2.02,1000,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/322383F88535C8A24498724B92188318.jpg,,,,,2025-04-30T23:59:59.999999999+01:00,PROSPECTUS,9,1,,
978,5601024134136,750.0,Oliveira da Serra,Azeite,Embalagem de 750 ml,5.39,7.19,750,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9CC9A85673AA0BF0B09481F106398AA6.jpg,,,,,2025-04-30T23:59:59.999999999+01:00,PROSPECTUS,9,1,,
1012,5601043111026,1000.0,Branca de neve,"Farinha para bolos super fina, embalagem de 1 kg",,1.79,1.79,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2C1F82D915B4FA8DB609B4607A05BC7E.jpg,,,,,2025-04-30T23:59:59.999999999+01:00,PROSPECTUS,9,1,,
1131,5601078005024,750.0,Grao Vasco,"Vinho doc dão branco, garrafa de 750 ml",,3.35,4.47,750,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/08D876911D136C69F8C23B36643D6D00.jpg,,,,,2025-04-30T23:59:59.999999999+01:00,PROSPECTUS,9,1,,
1135,5601082022758,250.0,Delta,Café torrado lote chávena máquina,Embalagem de 250g,2.89,11.56,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/13E9F03FF8FB53EE57516E14277CD628.jpg,,,,,2025-04-30T23:59:59.999999999+01:00,PROSPECTUS,9,1,,
1140,5601082026909,55.0,Delta Q,Cápsulas de café delta qualidus,Embalagem de 60g,4.79,87.09,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/441EE69B99F521CFEC78FC743837C36E.jpg,,,,,2025-04-30T23:59:59.999999999+01:00,PROSPECTUS,9,1,,
1141,5601082026930,55.0,Delta Q,Cápsulas de café qharacter,Embalagem de 60g,4.79,87.09,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/ED78713935358B06CEC6FAE9E6288EA3.jpg,,,,,2025-04-30T23:59:59.999999999+01:00,PROSPECTUS,9,1,,
1142,5601082026954,55.0,Delta Q,Café em cápsulas  qonvictus,Embalagem de 55 g,4.79,87.09,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2BCCE3D035FB6F5D7FC434FDA25E120B.jpg,,,,,2025-04-30T23:59:59.999999999+01:00,PROSPECTUS,9,1,,
1144,5601082026978,55.0,Delta Q,Café em cápsulas aqtivus,Embalagem de 55 g,4.79,87.09,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/52267C2B82B3AE15A09FF0BFBFD58772.jpg,,,,,2025-04-30T23:59:59.999999999+01:00,PROSPECTUS,9,1,,
