identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,avantages_dateFin,avantages_categorie,nro_paginas,page,images_5,images_6
12994,2892524000000,100.0,Legumes,Cenoura Granel,1 un = 100 gr (aprox.),0.09,0.89,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5AEDEF3ED6ABEF24EACEE9C46AA7916F.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
927,5601001180903,380.0,Nestlé,Cereais chocapic,Embalagem de 375 g,2.39,6.29,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EA69C754779AF0C6F4DD36E6F3A8C272.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
1035,5601045105313,6000.0,Serra da estrela,"Água mineral sem gás, pack 4 x 1.5 l",,1.79,0.3,6000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0358268AAE386D7F610EBE003FAAE9E0.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
11688,5601244202318,200.0,Terra Nostra,"Queijo flamengo em fatias, embalagem de 200g",,2.29,11.45,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3C8EE0938E0D052FB03D54FC94FFA0EF.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
13914,2891225000000,350.0,Frango,Perna com Costa,1 un. = 300 g (aprox.),0.8,2.29,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D1297D1CD095629263E582A65B4C3857.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
32402,4005900542557,50.0,Nivea,"Desodorizante roll on black & white invisible silky smooth, 50 ml",,3.14,62.8,50,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/38BC337DF80EFF7BB0EAAC1C90FD7BD0.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
17402,8412600027233,700.0,Bimbo,Pão forma familiar normal,embalagem de 700 g,1.99,2.84,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BD26753EF23D0DF0FDC14FCDC181B902.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
53469,5601028019941,,Renova,Rolo Cozinha Máxima Absorção Extra XXL,Embalagem de 2 unidades,1.98,1.98,2,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F4A90C9D477EA88B96B77E4FB64FF1F5.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
12972,2892040000000,200.0,Fruta,Banana,1 un = 200 gr (aprox.),0.2,0.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1515327A77B72426B2932390DFBE18E5.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
21577,5602947000713,750.0,Quinta da Pacheca,Vinho rosé doc douro,Garrafa de 750 ml,5.49,7.32,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/99C3E3FF1B0370B7F352668571EDA823.jpg,,,,,2025-06-25T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
18840,8410136003448,400.0,Pedigree,"Alimento húmido para cão saquetas, 4x 100g",,2.46,6.15,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/961527F12ADB8A4ECF23743154D781CF.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
2459,7613031497096,400.0,Nestlé,"Fruta para bebé maçã pera +4 meses, embalagem de 4 x 100g",,2.24,5.6,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A3657AC5DA61941E17EE1AD603103EE0.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
