identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,avantages_dateFin,avantages_categorie,nro_paginas,page,images_4
13914,2891225000000,350.0,Frango,Perna com Costa,1 un. = 300 g (aprox.),0.8,2.29,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D1297D1CD095629263E582A65B4C3857.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,
927,5601001180903,380.0,Nestlé,Cereais chocapic,Embalagem de 375 g,2.39,6.29,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EA69C754779AF0C6F4DD36E6F3A8C272.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,
8520,5601119956490,120.0,Nobre,"Fiambre perna extra finissimos fatiado, embalagem de 120g",,1.89,15.75,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/15C8ADF2CEDA2C19A63D893348F1D7F5.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,
9727,5604260273058,200.0,PorSi,Queijo Mozzarela Ralado 200G,,1.64,8.2,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D767CFC30304ACED37F1FA78A6E123BE.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,
54320,8718951559721,100.0,Colgate,"Pasta De Dentes Maximum Caries Protection, 100ml",,2.14,21.4,100,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FB112999317664A7E18AAA81FF2A5D06.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3694932EDFE660C6F958943C13CEE297.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3694932EDFE660C6F958943C13CEE297.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3694932EDFE660C6F958943C13CEE297.jpg,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,
29834,8712100516467,480.0,Olá,"Gelado cornetto mini clássico, embalagem de 8 x 60 ml",,3.89,8.1,480,L,€/L,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/966639A10CEAB2E0B5CACE51C203C362.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,
17402,8412600027233,700.0,Bimbo,Pão forma familiar normal,embalagem de 700 g,1.99,2.84,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BD26753EF23D0DF0FDC14FCDC181B902.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,
18628,5601028002707,,Renova,Rolo de Cozinha Multi,4 Rolos,1.49,1.49,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A6A18C9DEB55952EA54214B88A2CC38D.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,
12997,2892527000000,300.0,Legumes,Courgette Categoria II,,0.36,1.19,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/323B806C0CB557ED0F5B2CB32A998FDE.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,
29733,5602182210335,750.0,Monte da Ravasqueira,Vinho regional alentejano sauvignon blanc,Garrafa de 0.75 l,5.24,6.99,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B52F90CFDB5CA4C7BE5D2E4FF121E522.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,
2474,7613032408602,85.0,Purina Gourmet,"Comida húmida para gato vaca e frango, embalagem de 90g",,0.87,10.24,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/571C1A9D6D5EE4C101463565EC0CDDDE.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,
17269,4084500617421,820.0,Fairy,"Detergente Líquido Lavar Loiça Original, 820 ml",,3.39,4.13,820,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AAC34482F7A307A6F6D7CF7355F8BFDC.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,
26772,5449000106186,3500.0,Coca-Cola,"Refrigerante com gás, pack 2 x 1.75 l",,3.77,1.08,3500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A789E276311FA9DA8F07BCEEEA6CB731.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,
52965,5411188138051,400.0,Alpro,"Yofu natural com côco, 400g",,1.87,4.68,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5FD864695C9B3ECF5DA8D909F78D83D5.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4EFC28C798EC9CE81FCEDF77B62BF031.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4EFC28C798EC9CE81FCEDF77B62BF031.jpg,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,
36001,8001841215556,,Evax,Penso diário salvaslip multiforma,embalagem de 34 unidades,2.46,2.46,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E0557F5F441F2E3275BAD526FB959717.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,
55312,3021761208204,360.0,Gogo,"Pack Saquetas de Fruta Maçã e Frutos Vermelhos, 4 x 90g",,1.92,5.33,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/66FA2FD0AEAE213271A8F30ABA7BE068.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,
44936,8711327318373,540.0,Olá,"Cornetto clássico, embalagem de 6 x 90 ml",,3.29,6.09,540,L,€/L,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/375352E817B7CDAB1DA63F9C8C8FF261.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,
41297,5601050036534,440.0,Danone,"Iogurte oikos pêssego, embalagem de 4 x 110g",,1.99,4.52,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C2BCC90FB2B192B3C8BC1E9CCF0DA4AF.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,
52088,7613032881313,85.0,Purina Gourmet,Comida húmida para gato gourmet gold com coelho 85g,,0.87,10.24,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C00E78B2201EC475A2889804E65AE983.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,
44956,2696878000000,,Padaria,Bola de mistura centeio Baviera,90 g,0.2,0.2,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/09DB4B39AC0AAE5D11E868A906EFB364.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,
12978,2892462000000,400.0,Legumes,Alface Frisada,1 un= 400 g (aprox.),0.56,1.39,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/11753DE36CD8D1B450ED5A40B08A088C.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,
8907,5601356013062,750.0,Porta da Ravessa,"Vinho doc alentejo tinto, garrafa de 750 ml",,2.99,3.99,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/30CD7B81F8725B208C8117FAC2D69297.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,1,
