identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,images_5,images_6,avantages_dateFin,avantages_categorie,nro_paginas,page
13833,2892579000000,300.0,Legumes,Pepino,1 un = 300 gr  (aprox.),0.45,1.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BD2734BFC4704D52A466FC85B929304E.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
2785,5601363013222,150.0,Ruffles,"Batata frita presunto, embalagem de 150 g",,1.39,9.27,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7C1F8A2720963F6F12F5A2EE9BFB27BF.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
1480,5601314000073,9000.0,Vitalis,"Água mineral sem gás, pack 6 x 1.5 l",,2.69,0.3,9000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DA3E69EB6FBF3CE3F3256CE592DB9A52.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
10914,3250390011620,200.0,Páturages,Queijo brie 60% mg,Embalagem de 200 g,1.75,8.75,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4BF7058D0138CA4DFA3E37B503FC8E28.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
12888,2892090000000,500.0,Fruta,Manga Avião,1 un=500 gr (aprox.),1.95,3.89,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A3E5B8447376E0E91C2C4BB7B1444B76.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/842EA0C904154D230A3A6F63A245D264.jpg,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
32306,8718951202979,500.0,Palmolive,"Gel de banho naturals amêndoa e leite, 500 ml",,2.69,5.38,500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F33F92F4F53A6A0ED534C67B846C0ABA.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
6278,8410001103877,,Scotch Brite,"Esfregão com Esponja Salva Unhas Fibra Verde Gama Classic, 2 unidades",,1.49,1.49,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8B050954A17B3AEE53D05423C2DB9B5C.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
14897,2892245000000,4000.0,Fruta,Melancia Riscada,Vendido ao peso | 1 un = 4kg (aprox.),2.36,0.59,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/499A6B9B1699D69723890E8129338912.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
40737,5604260301621,5000.0,PorSi,Vinho branco,Bag-in-box de 5 litros,5.09,1.02,5000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3B77B176D65425D731000E9EA7C0CD27.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
15955,7613032408794,85.0,Purina Gourmet,"Comida húmida para gato peixe do oceano, embalagem de 90g",,0.87,10.24,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FEEA8DEA9BB460BB34BF8E0ADF22D62F.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
21767,7613035487871,90.0,Nestlé,"Fruta para bebé multifrutas +4 meses, embalagem de 90g",,0.65,7.22,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1B1A7DCEC52C23E2760C4FE3A24A75EE.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
41041,8001480703001,700.0,Neoblanc,Tira nódoas em spray cores,Embalagem de 700 ml,2.99,4.27,700,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1B7BCC034AAC45310DFFCE9E289F80C7.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
11613,5601164864467,1320.0,Somersby,"Sidra maçã, pack 4 x 0.33 l",,3.89,2.95,1320,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F0118862B10C3F3FD894ACFE7A34A6C9.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
41226,5601050036572,440.0,Danone,"Oikos morango, embalagem de 4 x 110g",,2.09,4.75,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2653493E2B1190B7D8AE6B95BAB9D958.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
8315,5601028013307,,Renova,"Papel higiénico, compacto, extra xxl, folha dupla, 24 unidades",1 embalagem,11.84,11.84,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8841944F9F3703369828D4B2A56CAC2C.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F6866F63DEC5517DB1E2DC48AD701110.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/52CEDF162CBC9A98A93B293FEE315F10.jpg,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
19607,7613035376625,90.0,Nestlé,Fruta para bebé maçã banana aveia +6 meses,Embalagem de 90g,0.65,7.22,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/63EF160EDC28D2A349A30B7555DC57D7.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
