identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,images_5,avantages_dateFin,avantages_categorie,nro_paginas,page,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise,images_6,images_7
49463,8445290250322,600.0,Nestum,Flocos Cereais Mel,Embalagem de 600g,3.79,6.32,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4A0A62606AC144021ED115E1FAB3D0CE.jpg,,,,,,2025-10-29T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,
30958,5449000957955,3500.0,Coca-Cola,"Refrigerante zero, pack 2 x 1.75 l",,3.29,0.94,3500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F2EAD17F7ACB8ABDBC63DEE76B961767.jpg,,,,,,2025-10-29T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,
13866,2891048000000,1000.0,Porco,Bifanas,Vendido ao peso a partir de 1 kg,4.49,4.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/72DE0DA6B485199AC995C629E3E4D279.jpg,,,,,,2025-10-29T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,
6267,8016825926687,75.0,Aquafresh,Pasta dentífrica menta fresca,Embalagem de 75 ml,1.84,24.53,75,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5AF61545461116CEF40994D7E37A4C54.jpg,,,,,,2025-10-29T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,
13048,2893561000000,250.0,Marisco,Ameijoa Branca Vietnamita Congelada,Vendido a partir de 250 gr  (aprox.),0.45,1.79,0,,€/Kg,,Avantages !,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EB1BC296FF41180E6F3E1626AD4F78AA.jpg,,,,,,2025-10-29T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,
26047,8412600070994,650.0,Bimbo,Pão de forma s/ côdea,Embalagem de 650 g,2.14,3.29,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5D9620F17746A1D49642D0DCBD72A2D3.jpg,,,,,,2025-10-29T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,
17207,8006540943687,1800.0,Fairy,Detergente manual de loiça limão,Embalagem de 2 x 900 ml,6.99,3.88,1800,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B2EE328B1B3FB1BA0162E77ED87C40E9.jpg,,,,,,2025-10-29T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,
12972,2892040000000,200.0,Fruta,Banana,1 un = 200 gr (aprox.),0.2,0.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1515327A77B72426B2932390DFBE18E5.jpg,,,,,,2025-10-29T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,
26524,5606710533125,750.0,Carm,"Vinho tinto douro, garrafa de 0.75 l",,7.69,10.25,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A9CD625A03781F78FB8CB39645855272.jpg,,,,,,2025-10-29T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,
854,5010394133852,500.0,Pedigree,"Guloseima para cão biscrok, embalagem de 500 g",,3.49,6.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0D226EB3269B404D077B080902C1C0AC.jpg,,,,,,2025-10-29T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,
38330,7613036886994,400.0,Yogolino,Yogolino pêssego banana 0% açúcares adicionados 4x100g,Embalagem de 400g,1.99,4.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/46F9E1E8ECDF4D5D7026305EEF6FB459.jpg,,,,,,2025-10-29T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,
53469,5601028019941,,Renova,Rolo Cozinha Máxima Absorção Extra XXL,Embalagem de 2 unidades,1.99,1.99,2,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F4A90C9D477EA88B96B77E4FB64FF1F5.jpg,,,,,,2025-10-29T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,
51837,8711327587205,2000.0,Lipton,Ice tea lipton pessego 2l,,1.99,1.0,2000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/337078DD8DFA2309401BA5C925E0DABA.jpg,,,,,,2025-10-29T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,
15503,8410500018931,400.0,Danonino Danone,"Iogurte líquido danonino tutti frutti, embalagem de 4 x 100 g",,2.09,5.23,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/49D4DFA8C6DABEB79926D4F0312C64D8.jpg,,,,,,2025-10-29T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,
26300,4000388177000,250.0,Dove,"Sabonete líquido original, 250 ml",,2.39,9.56,250,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E48FE147EDAF5E4C408B9B5A3DC58EA7.jpg,,,,,,2025-10-29T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,
