identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,avantages_dateFin,avantages_categorie,nro_paginas,page,images_4,images_5,images_6,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise
13914,2891225000000,350.0,Frango,Perna com Costa,1 un. = 300 g (aprox.),0.87,2.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D1297D1CD095629263E582A65B4C3857.jpg,,,,2025-12-03T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,,
2784,8410199021137,160.0,Ruffles,"Batata frita, embalagem de 160 g",,1.39,8.69,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/99D56823BC057150117915B487192BF1.jpg,,,,2025-12-03T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,,
48860,5604260319794,150.0,Porsi Vivabem,Queijo Mozzarella Light Ralado 150g,,1.59,10.6,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/35271112CCD07C945317D670793A0A37.jpg,,,,2025-12-03T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,,
8383,5601049132995,1000.0,Mimosa,"Leite uht meio gordo, embalagem de 1litro",,0.9,0.9,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6FB52C843F677BD37D399D45BB10B38B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AE810093A08CEBD60415DCC626CF5804.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A0562293538F541B1B99592AA046327B.jpg,,2025-12-03T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,,
54321,8718951477957,100.0,Colgate,"Pasta De Dentes Tripla Ação, 100ml",,2.14,21.4,100,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/314A8AD6D21192FE5E061EE56C598725.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9ADDEB220D16C8DAE54C517CBC09DC55.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9ADDEB220D16C8DAE54C517CBC09DC55.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9ADDEB220D16C8DAE54C517CBC09DC55.jpg,2025-12-03T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,,
13048,2893561000000,250.0,Marisco,Ameijoa Branca Vietnamita Congelada,Vendido a partir de 250 gr  (aprox.),0.5,1.99,0,,€/Kg,,Avantages !,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EB1BC296FF41180E6F3E1626AD4F78AA.jpg,,,,2025-12-03T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,,
44956,2696878000000,,Padaria,Bola de mistura centeio Baviera,90 g,0.2,0.2,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/09DB4B39AC0AAE5D11E868A906EFB364.jpg,,,,2025-12-03T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,,
29738,8410436324533,1300.0,Sonasol,"Lava Tudo Flores Montanha, 1.3 l",,2.24,1.72,1300,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/13FBFB2C777E7C44B0340328520A2D41.jpg,,,,2025-12-03T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,,
12906,2892001000000,100.0,Fruta,Clementinas,1 un = 100 gr (aprox.),0.2,1.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/91DC72E142D597026B000E92136FFB70.jpg,,,,2025-12-03T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,,
10884,3147690051206,700.0,Label 5,Whisky blended,"Garrafa de 0,70 l",11.99,17.13,700,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C08CAF9ADA1BDE594E3803CD3B274AB6.jpg,,,,2025-12-24T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,,
52964,8445290299031,340.0,Purina One,"Comida Húmida para Cão Mini Delicate, 4 x 85g",,2.24,6.59,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/32231F745A365BE95601B28982095381.jpg,,,,2025-12-03T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,,
47110,7613287218766,110.0,Nestlé,"Saqueta de Fruta Tutti Frutti +12M, emb. 110 gr",Embalagem de 110g,0.79,7.18,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3A0DC006BA90FE4ED51AF00C38870697.jpg,,,,2025-12-03T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,,
48298,5604260314270,,PorSi Select,Guardanapo 39x39cm Branco 2 Folhas 50 Unidades,,1.48,1.48,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0822083B27B2B359A41E7AEEAEF9137E.jpg,,,,2025-12-03T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,,
20202,5601151976456,1000.0,Frize,"Água com gás limão/pepino/gengibre, pack 4 x 0.25 l",,2.09,2.09,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8CC607BECDA933771553297655559077.jpg,,,,2025-12-03T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,,
35138,5603722517655,960.0,Mimosa,"Iogurte sólido aroma morango, ananás e banana, 8 x 120 g",,1.89,1.97,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7070B93AC2DB23DCF61734D801E40E6D.jpg,,,,2025-12-03T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,,
54320,8718951559721,100.0,Colgate,"Pasta De Dentes Maximum Caries Protection, 100ml",,2.14,21.4,100,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FB112999317664A7E18AAA81FF2A5D06.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3694932EDFE660C6F958943C13CEE297.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3694932EDFE660C6F958943C13CEE297.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3694932EDFE660C6F958943C13CEE297.jpg,2025-12-03T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,,
25214,7613035930551,90.0,Nestlé,"Saqueta de Fruta Maçã, Banana e Morango +8M, emb. 90 gr",,0.65,7.22,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A2E1B043C34553B91FFED35123D220EC.jpg,,,,2025-12-03T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,,
16003,5000116109630,300.0,Capitão Iglo,"12 douradinhos forníssimo, embalagem de 300g",,3.98,13.27,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/544992A31EAE2C5ED6C344C7B21BC2DA.jpg,,,,2025-12-03T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,,
40592,5603722519420,480.0,Mimosa,"Iogurte fruta batida banana, laranja e bolacha, 4 x 120 g",,1.69,3.52,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3DD4F4ED13036BE4F0A8D47DB404A192.jpg,,,,2025-12-03T23:59:59Z,PROSPECTUS,14,1,,,,,,,,,,,
