identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,avantages_dateFin,avantages_categorie,nro_paginas,page,images_4,images_5,images_6,images_7
11961,5603722505607,1000.0,Mimosa,"Leite sem lactose meio gordo, de 1l",,1.15,1.15,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A98ED8A0E5E675A3AC1A551BCE75B0AB.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4E57BFE09E8D859BDBE1705476BB9F1B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E1F70144AAFCC0EAEBFF05614177D009.jpg,,2025-12-31T23:59:59Z,PROSPECTUS,14,1,,,,
18488,5600744051013,220.0,Saborosa,"Bolacha de manteiga belga original, embalagem de 220g",,1.49,6.77,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/435E3C8EAE2EA4A45A8BB3A81B14CF20.jpg,,,,2025-12-31T23:59:59Z,PROSPECTUS,14,1,,,,
8383,5601049132995,1000.0,Mimosa,"Leite uht meio gordo, embalagem de 1litro",,0.9,0.9,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6FB52C843F677BD37D399D45BB10B38B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AE810093A08CEBD60415DCC626CF5804.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A0562293538F541B1B99592AA046327B.jpg,,2025-12-31T23:59:59Z,PROSPECTUS,14,1,,,,
56411,5604260333677,750.0,Labell,Gel de Banho Cremoso 750 ml,,1.59,2.12,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/63812397800413571F258C3D09EF338D.jpg,,,,2025-12-31T23:59:59Z,PROSPECTUS,14,1,,,,
13048,2893561000000,250.0,Marisco,Ameijoa Branca Vietnamita Congelada,Vendido a partir de 250 gr  (aprox.),0.5,1.99,0,,€/Kg,,Avantages !,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EB1BC296FF41180E6F3E1626AD4F78AA.jpg,,,,2025-12-31T23:59:59Z,PROSPECTUS,14,1,,,,
14007,2696358000000,800.0,Pastelaria,Bolo Brigadeiro 800 g,,7.49,9.36,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2D16DABCE965696E3586CDB9A87DB71C.jpg,,,,2025-12-31T23:59:59Z,PROSPECTUS,14,1,,,,
24393,5601028000352,,Renova,Guardanapos Red Label 1 folha |Branco,Dim: 30x32cm |70 unidades,0.79,0.79,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8EB475C9EAB7F71BAD24D03BE60490C5.jpg,,,,2025-12-31T23:59:59Z,PROSPECTUS,14,1,,,,
12906,2892001000000,100.0,Fruta,Clementinas,1 un = 100 gr (aprox.),0.2,1.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/91DC72E142D597026B000E92136FFB70.jpg,,,,2025-12-31T23:59:59Z,PROSPECTUS,14,1,,,,
5143,5601096201309,750.0,Casal Garcia,"Vinho verde branco, garrafa de 0.75 l",,3.49,4.65,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C499325EC5B55389E1608DCDF3310034.jpg,,,,2025-12-31T23:59:59Z,PROSPECTUS,14,1,,,,
41901,7613037677591,250.0,Cerelac,"Papa Infantil Farinha Láctea com 40% Menos Açúcares +6M,  emb. 250 gr",,2.49,9.96,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/029375962274AEB82420915E9195E54A.jpg,,,,2025-12-31T23:59:59Z,PROSPECTUS,14,1,,,,
