identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,images_5,images_6,images_7,images_8,avantages_dateFin,avantages_categorie,nro_paginas,page
11464,5601018003400,1000.0,Matinal,"Leite seleccionado meio gordo, de 1l",,0.95,0.95,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5F34056BF2D07C9D39E218B31081D1FC.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,1
11967,5601049612336,250.0,Mimosa,"Manteiga com sal, embalagem de 250g",,2.09,8.36,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2C2D066D904F137421CA4F472DC07738.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B59AE74FD0DBE6C3112F001AFF69E867.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BB9196C3025886DBB6F20EDD70A1CA7A.jpg,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,1
14172,5601226006460,1500.0,Ucal,"Leite Achocolatado Original, emb. 6 x 250 ml",,4.79,3.19,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DBA6B505928AF15261880350BAEA1A97.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,1
57358,5601082058023,,Delta Q,"Cápsulas de Café Uniq Int 16, 40 Cápsula",,14.89,14.89,40,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/45C5CD4FCFE174CB6D92D2B20A00DB77.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,1
978,5601024134136,750.0,Oliveira da Serra,Azeite,Embalagem de 750 ml,3.69,4.92,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9CC9A85673AA0BF0B09481F106398AA6.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,1
23605,5601024335182,1000.0,Fula,"Óleo Alimentar Especial Fritura, emb. 1 lt",Garrafa de 1 l,1.85,1.85,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/69E445CB49A81927EAD36F899A4FF4A1.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,1
17827,5603344531022,110.0,General,Atum posta em óleo,Embalagem de 110g,0.89,8.09,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6CF8780AD6CFF5E4D2703538338330A5.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,1
16343,5601151978856,6000.0,Serra da estrela,"Água sem gás, garrafão de 6l",,1.39,0.23,6000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8D402342781DACEBEA13B36CE32D8EBF.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,1
1327,5601164115606,1000.0,Super Bock,"Cerveja com Álcool, garrafa 1 lt",,1.65,1.65,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/73F2D859CCD8D2800F2C691289AD7AE3.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,1
49475,5601146570027,3750.0,Sagres,"Cerveja com Álcool Mini, emb. 15 x 25 cl",,7.45,1.99,3750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A715AE59B8D1A6C9C572F97AFE8A2897.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,1
35888,5601151973752,3500.0,Sumol,"Refrigerante com gás de ananás, 2 x 1.75 l",,2.79,0.8,3500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/088D8DA34921F50F39B725B4135D000A.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,1
41819,5601082047737,,Delta Q,Café XL Deqafeinatus intensidade 1,40 cápsulas,14.89,14.89,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7C9048D70006F117EC54BB13DF259BB8.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,1
17893,5601082039817,220.0,Delta Q,Café xl qharacter cápsulas,40 Cápsulas,14.89,67.68,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A33D46B8BEAE0A6886B2052A87431B6E.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,1
17892,5601082039800,220.0,Delta Q,Café xl qalidus cápsulas,Embalagem de 220g,14.89,67.68,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CC1942C4B68078F0368F602F327C039D.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,1
