identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,images_5,images_6,images_7,avantages_dateFin,avantages_categorie,nro_paginas,page
9241,5603016000788,750.0,Adega de Pegões,"Vinho branco regional península de setúbal, 750 ml",,1.49,1.99,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/33F7981A583CA4EF224AA511FB4C706C.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
19022,5603722509742,800.0,Agros,"Leite com chocolate, embalagem de 4 x 200 ml",,1.49,1.86,800,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/86A34AF1051A1750347A4FF58912A923.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
55715,8436048965575,118.0,Artiach,"Bolachas Filipinos Caramelo Salgado, 118g",,1.39,11.78,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/72CF06F89514BCE7B1CA4F6864790490.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
989,5601029004014,120.0,Bom Petisco,"Atum posta em óleo, embalagem de 120g",,1.19,9.92,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0EDE399096BE62933DCF2A734D746C1A.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
1012,5601043111026,1000.0,Branca de neve,"Farinha de Trigo Super Fina com Fermento, emb. 1 kg",,1.59,1.59,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2C1F82D915B4FA8DB609B4607A05BC7E.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
1434,5601260037109,1000.0,Cigala,"Arroz agulha, embalagem de 1 kg",,1.29,1.29,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B3D52BC13D571B9BC6634FD987C80F3C.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
57585,3600523586349,400.0,Elvive,"Champô Elvive Dream Long, emb. 400 ml",,3.79,9.48,400,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A08AAA160D70335374868EE6F725FC69.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
54396,3600523625741,300.0,Elvive,"Condicionador Dream Long, 300ml",,3.79,12.63,300,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5B861BB844DCC60C232A0802F8263CAF.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
32158,4015400917328,480.0,Fairy,"Detergente Liquido da Loiça Limão, 480 ml",,2.39,4.98,480,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4E2BD689329F214554584573973F36ED.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
1230,5601146232512,1500.0,Joi,"Refrigerante sem gás, maracujá e la, garrafa de 1,5 l",,1.15,0.77,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/430468AF369DBE1139E298A0EA69B620.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
26593,8711000357576,,LOr,"Café ristretto intensidade 11, 10 cápsulas",,3.49,3.49,10,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2EAEB37E8B795B71A4A771BA06ECE034.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/365CDCB84568CD244FD438D6B6B31A4D.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/365CDCB84568CD244FD438D6B6B31A4D.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/365CDCB84568CD244FD438D6B6B31A4D.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/365CDCB84568CD244FD438D6B6B31A4D.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/365CDCB84568CD244FD438D6B6B31A4D.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/365CDCB84568CD244FD438D6B6B31A4D.jpg,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
1467,5601286236784,500.0,Milaneza,"Massa de espirais, embalagem de 500g",,0.99,1.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/90F3AD9985391E2BB3C76374F1217643.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
53044,8720181368769,4320.0,Omo,"Detergente roupa máquina líquido, 96 doses",,7.99,1.85,4320,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/30BA46CDC8291B3E0F7206BAD1197FAE.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
19414,5601028024716,,Renova,"Papel Higiénico Puríssimo 3 Folhas, embalagem c/ 12 rolos",,4.79,4.79,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6371FB49C9F37CFE36AA4E28DFBAAFF4.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
15879,5601164902282,3000.0,Super Bock,"Cerveja com Álcool Mini, emb. 15 x 20 cl",,6.89,2.3,3000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F51CB7668EA2A2D5B4B811ABB528133B.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
57315,8720181748486,700.0,Vaseline,"Gel de Banho Hidra essencial, emb. 700 ml",,2.79,3.99,700,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5426F5B0A85038D36CF06D79E0739C8E.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
12906,2892001000000,100.0,Fruta,Clementinas,1 un = 100 gr (aprox.),0.18,1.79,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/91DC72E142D597026B000E92136FFB70.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
12994,2892524000000,100.0,Legumes,Cenoura Granel,1 un = 100 gr (aprox.),0.09,0.89,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5AEDEF3ED6ABEF24EACEE9C46AA7916F.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
13934,2891062000000,250.0,Porco,Rojões,1 un = 250 gr  (aprox.),0.87,3.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/925F2FDC1F925A7FD71EE6165315B22E.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
13866,2891048000000,1000.0,Porco,Bifanas,Vendido ao peso a partir de 1 kg,3.49,3.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/72DE0DA6B485199AC995C629E3E4D279.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
13914,2891225000000,350.0,Frango,Perna com Costa,1 un. = 300 g (aprox.),0.8,2.29,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D1297D1CD095629263E582A65B4C3857.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
41719,5604260303793,90.0,PorSi,Puré de Fruta Maçã Banana 90g,,0.59,6.56,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2E481D69677BD2CA4465286377A9A6E3.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
8383,5601049132995,1000.0,Mimosa,"Leite uht meio gordo, embalagem de 1litro",,0.9,0.9,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6FB52C843F677BD37D399D45BB10B38B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AE810093A08CEBD60415DCC626CF5804.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A0562293538F541B1B99592AA046327B.jpg,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
13894,2891044000000,1000.0,Porco,Entremeada sem Entrecosto,Vendido ao peso a partir de 1 kg,3.49,3.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/033DDCE7C7F9A9CD99F0A4BEB2F74462.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
36745,2892275000000,300.0,Fruta,Pera conference categoria: II,Vendido ao peso a partir de 300 g,0.57,1.89,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8BF458478FD63452D2100C106D192E00.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
8396,5601049614330,250.0,Milhafre,"Manteiga com sal, embalagem de 250g",,2.19,8.76,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8DCB9F2F3B36086D35B7173891ABA268.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
13897,2891053000000,1000.0,Porco,Lombo sem Osso,Vendido ao peso a partir de 1 kg,3.49,3.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/415564DA70574ED3C1D7475F1F28BDB6.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
12888,2892090000000,500.0,Fruta,Manga Avião,1 un=500 gr (aprox.),1.95,3.89,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/842EA0C904154D230A3A6F63A245D264.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
30958,5449000957955,3500.0,Coca-Cola,"Refrigerante com Gás Cola Zero, emb. 2 x 1,75 lt",,3.29,0.94,3500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F2EAD17F7ACB8ABDBC63DEE76B961767.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
41718,5604260303823,90.0,PorSi,Puré de Fruta Maçã Manga Pessego 90g,,0.59,6.56,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9B27C39372BB074FB232EB9A2E0BB35A.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
41720,5604260303786,90.0,PorSi,Puré de Fruta Maçã Banana e Morango 90g,,0.59,6.56,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EB59B6CAE9A8CD6FFFC194AC89C34DBC.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
1730,5604260000319,250.0,PorSi,Massa Cuscus 250g,,0.48,1.92,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/46EBB016676D295FEB6BDF8AF4C79600.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
20845,4015400846789,,Dodot,Fraldas Recém Nascido Sensitive | Tamanho 2 - 4-8 kg,Embalagem c/ 58 unidades,12.69,12.69,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/63EC8BDD23C53956A77A4B02EC337DBE.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DC6466B752B89E9E5AA5C794BD4F7833.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DC6466B752B89E9E5AA5C794BD4F7833.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DC6466B752B89E9E5AA5C794BD4F7833.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DC6466B752B89E9E5AA5C794BD4F7833.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DC6466B752B89E9E5AA5C794BD4F7833.jpg,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
27629,5604260282845,500.0,PorSi,Iogurte Natural 4x125g,,0.8,1.6,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4C81FD0AD483BCDBB41B470432B5F2B0.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
41716,5604260303809,90.0,PorSi,Puré Fruta Multifrutos Maçã / Pêssego / Banana / Pera 90g,,0.59,6.56,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1CAFF4A82E080C7A12967171C7D2027F.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
5788,5604260033447,200.0,PorSi,Chouriço Corrente 200g,,1.19,5.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/92DD7C79E00E3F96B89DDD048D065D1C.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
13821,2892597000000,200.0,Legumes,Tomate Cacho,1 un = 200 gr (aprox.),0.38,1.89,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FD67F77AFAB450B6A4FA38E0279E6686.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
1480,5601314000073,9000.0,Vitalis,"Água sem Gás, emb. 6 x 1,5 lt",,2.75,0.31,9000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DA3E69EB6FBF3CE3F3256CE592DB9A52.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
1726,5604260000272,250.0,PorSi,Massa Pevide 250g,,0.48,1.92,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A4A2080D7D2A6FF3E0E1E1CA80D0F6AC.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
17272,2891375000000,800.0,Novilho,Carne p/ Estufar,Vendido ao peso a partir de 800 g,9.59,11.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/74A9E71258207F3FD300DB35B0F5BB18.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
31516,8435257039107,1280.0,Nestlé,"Yoggi liquido morango, embalagem de 8x160g",,3.89,3.04,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/919C3780A665F064AD1803A3631A5911.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
42776,5604260304714,200.0,PorSi,Fiambre da Pá Fatiado 200g,,1.59,7.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/96696B16BD79A06D0941D803193430BB.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4BF6C4B7F27D2FA729AB427C5AFC4D32.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4BF6C4B7F27D2FA729AB427C5AFC4D32.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4BF6C4B7F27D2FA729AB427C5AFC4D32.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4BF6C4B7F27D2FA729AB427C5AFC4D32.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4BF6C4B7F27D2FA729AB427C5AFC4D32.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4BF6C4B7F27D2FA729AB427C5AFC4D32.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4BF6C4B7F27D2FA729AB427C5AFC4D32.jpg,2026-01-28T23:59:59Z,PROSPECTUS,14,1
53469,5601028019941,,Renova,Rolo Cozinha Máxima Absorção Extra XXL,Embalagem de 2 unidades,1.99,1.99,2,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F4A90C9D477EA88B96B77E4FB64FF1F5.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
1468,5601286250780,500.0,Milaneza,"Massa maçarronete riscado, embalagem de 500g",,0.99,1.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BA4109E5185276DFC6B9D6597899335A.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
17229,5602125000160,300.0,Legumes,"Cogumelo branco, embalagem de 300g",,1.49,4.97,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/66BAD1DC458E812967002A5594A14E2C.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
19166,5604260274185,1000.0,PorSi,Kiwi,embalagem de 1Kg,2.79,2.79,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4B3FD551DB4B491A1542FF19FDA92048.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
28608,5604260282821,640.0,PorSi,Iogurte Líquido Frutos Tropicais 4x160g,,1.34,2.09,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B152BCFD6AE7E62A7FDFE1104F2B5961.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
36170,5604260295654,1000.0,PorSi,Batata Pré-frita Palitos 1kg,Embalagem de 1 kg,1.85,1.85,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3CCF0DFFCA76AEE7F401DF2681D9A02B.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
37745,5604260301874,400.0,PorSi,Grão-de-bico Cozido Frasco 540g,Frasco com 540 g,0.85,2.13,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/ABBBFB42757051E49B0E75B4C2EB061F.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
37864,5604260273461,800.0,PorSi,Bolacha Maria Dourada 800g,,1.69,2.11,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1D93C33BEF79A481BDF1C6B62762CF0E.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
42625,5604260309832,1000.0,PorSi,Farinha de Trigo Tipo 55 - sem Fermento 1 kg,,0.59,0.59,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8BA5AF4FE5B96F57DBB9F2E83E893466.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
46919,2782188000000,600.0,PorSi,"Canjinha de Frango, embalagem de 600g (aprox.)",,2.21,3.69,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A71DE7C009681F0BB65F84174F205062.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
49554,5604260323661,,PorSi,Toalhitas Bebé Recarga Agilidade 4x72,Embalagem de 4 x 72 unidades,3.19,3.19,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A55A5882013405A1E736BD7B20EAB60C.jpg,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,1
