identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,images_5,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise,nro_paginas,page,images_6,avantages_dateFin,avantages_categorie
54374,8435495842798,,A+,"Detergente Máquina Roupa Líquido Fresh Flowers, 56D",,8.49,8.49,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/229F605C57CCF29A5FEDA8CCA020ADD9.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
1011,5601043111019,1000.0,Branca de neve,"Farinha de Trigo Fina com Fermento, emb. 1 kg",,0.97,0.97,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D6747B38ADBB658B352D698D9667A42C.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
54606,8720181466359,720.0,Dove,"Gel de banho hydrate, 720ml",,4.49,6.24,720,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/73576AE98695DDB42CEBA03FBEBB469E.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
18770,5449000138026,1500.0,Fanta,"Refrigerante com Gás Laranja sem Açúcar, garrafa 1,5 lt",,0.95,0.63,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DE34E5B994CDF7FCC42CE983A86D82DE.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
54632,5603722523045,1000.0,Gresso,"Leite UHT Meio Gordo, 1L",,0.85,0.85,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/ECF816693AC2579C9FB595FD8ABD96D7.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
18428,3600541888197,400.0,Garnier,Amaciador Ultra Suave Delicadeza de Aveia,Embalagem de 400 ml,3.59,8.98,400,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EEB54D99A81A12744A915743CE2BE7E6.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
18426,3600541887817,400.0,Garnier,Champô Ultra Suave Delicias de Aveia,Embalagem de 400 ml,3.59,8.98,400,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FB3520AB0507187656A408B0D650CF4F.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
27919,3600542140058,400.0,Garnier,Condicionador Ultra Suave Riqueza D'Argão,Embalagem de 400 ml,3.59,8.98,400,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D97F0F83356E9DECA28E7D831AD1F5F5.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
21465,5449000085474,1500.0,Fanta,"Refrigerante com Gás Maracujá sem Açúcar, emb. 1,5 lt",,0.95,0.63,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/713F7A2E8FF1504D7580CF5EB99232C0.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
959,5601019012418,1000.0,Guloso,Polpa de Tomate,Embalagem de 1 kg,1.79,1.79,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/287E0DC8A48662DD805F77C3CA0D6A49.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
