identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,images_5,avantages_dateFin,avantages_categorie,nro_paginas,page,images_6
49061,5000204073492,269.0,Glade,Ambientador Automático Relaxing Zen + Recarga,269 ml,7.19,26.73,269,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8A5070D52D8ED141CDE8FC654964DE1F.jpg,,,,,,2026-03-18T23:59:59Z,PROSPECTUS,16,1,
1012,5601043111026,1000.0,Branca de neve,"Farinha de Trigo Super Fina com Fermento, emb. 1 kg",,1.59,1.59,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2C1F82D915B4FA8DB609B4607A05BC7E.jpg,,,,,,2026-03-11T23:59:59Z,PROSPECTUS,16,1,
53163,8445291099418,,Buondi,"Café original nespresso, 10 cápsulas",,2.95,2.95,10,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6E46F1C9FB77DF7B2C9479B336DCC810.jpg,,,,,,2026-03-11T23:59:59Z,PROSPECTUS,16,1,
6059,5608527000524,750.0,Dom Campos,"Vinho Branco Região Península Setúbal, garrafa 75 cl",Garrafa 0.75L,1.89,2.52,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6CFEBAE3F7C01E0EE0EAB2B82395D3EA.jpg,,,,,,2026-03-11T23:59:59Z,PROSPECTUS,16,1,
44474,3600523923588,,Excellence,Coloração Permanente Nº 7.7 Caramelo,1 unidade,7.99,7.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2D1DB045A94535F2A53A65508F5AF8AD.jpg,,,,,,2026-03-11T23:59:59Z,PROSPECTUS,16,1,
11942,5603533492202,1000.0,Frize,"Água com gás groselha, pack 4 x 0.25 l",,1.99,1.99,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9F272D120CD1620A52E8FDFD1398797A.jpg,,,,,,2026-03-11T23:59:59Z,PROSPECTUS,16,1,
1226,5601146001507,1500.0,Joi,"Refrigerante sem gás de manga/laranja, garrafa de 1,5 l",,1.15,0.77,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DB9CD865FA14B43795929B354A61BA32.jpg,,,,,,2026-03-11T23:59:59Z,PROSPECTUS,16,1,
1451,5601286201782,500.0,Milaneza,"Massa esparguete, embalagem de 500g",,0.79,1.58,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FF90DF8806B7F52F8AD5ECEED9AAA2FA.jpg,,,,,,2026-03-11T23:59:59Z,PROSPECTUS,16,1,
38634,5060639121915,500.0,Monster,"Bebida Energética Mango Loco, emb. 50 cl",,1.29,2.58,500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4F4B4D9575A74844B519A2C1EA42C17E.jpg,,,,,,2026-03-11T23:59:59Z,PROSPECTUS,16,1,
45600,4005900648181,750.0,Nivea,"Gel de Banho Aloe, emb. 750 ml",,2.99,3.99,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/38ED25B3E1B734D9B60438B2D4D4A6D2.jpg,,,,,,2026-03-11T23:59:59Z,PROSPECTUS,16,1,
