index,no_products,id,title
3,16,11508,Maçãs e Peras
4,4,11510,Laranjas e Outros Citrinos
5,5,11511,Bananas e Kiwis
6,7,11512,"Pêssegos, Nectarinas e Ameixas"
7,2,11509,Limões e Limas
8,3,11513,Ananás e Abacaxi
9,8,11514,Frutos Vermelhos
10,6,11515,Uvas
11,4,11516,"Melão, Meloa e Melancia"
12,6,11517,Outros Frutos da Época
13,11,11518,Frutas Tropicais e Exóticas
14,4,11519,Frutos Secos e Desidratados
16,3,11531,Alfaces e Rúcula
17,3,11522,Batatas
18,3,11523,Cebolas e Alhos
19,9,11524,Couves e Feijão Verde
20,4,11525,Nabos e Grelos
21,1,11526,Agrião e Alho Francês
22,4,11527,Cenouras e Abóbora
23,10,11528,Tomates e Pimentos
